zipcode,Total Felonies (2020-2021)
91901,498
91902,137
91905,39
91906,36
91908,1
91909,4
91910,1473
91911,1156
91913,254
91914,92
91915,208
91916,4
91917,7
91931,2
91932,493
91934,19
91935,149
91941,366
91942,765
91945,613
91948,1
91950,1392
91962,38
91963,3
91977,772
91978,106
91980,7
92003,89
92004,48
92007,143
92008,1236
92009,388
92014,197
92019,515
92020,1254
92021,1053
92023,5
92024,979
92025,1577
92026,669
92027,730
92028,843
92029,469
92036,22
92037,633
92040,469
92049,4
92052,2
92054,2060
92055,10
92056,967
92057,648
92058,683
92059,139
92060,6
92061,54
92064,440
92065,325
92066,1
92067,55
92069,826
92070,3
92071,820
92072,3
92075,162
92078,466
92082,314
92083,805
92084,603
92085,2
92086,16
92088,1
92091,7
92093,21
92101,4484
92102,986
92103,1064
92104,915
92105,1338
92106,472
92107,1016
92108,1605
92109,2470
92110,1511
92111,756
92113,1443
92114,584
92115,1332
92116,391
92117,643
92118,252
92119,191
92120,534
92121,265
92122,638
92123,565
92124,199
92126,767
92127,260
92128,392
92129,249
92130,339
92131,182
92132,1
92134,2
92135,2
92136,22
92139,246
92140,10
92143,1
92145,1
92154,1376
92155,4
92158,2
92161,4
92173,799
92176,1
92178,1
92182,4
92250,1
92262,1
92371,1
92536,4
92589,1
92592,2
92672,2
